ZIP5,CBSA CODE,CBSA LSAD
36069,45980,Micropolitan Statistical Area
36069,,
36071,,
36072,21640,Micropolitan Statistical Area
36075,46260,Micropolitan Statistical Area
36078,33860,Metropolitan Statistical Area
36078,10760,Micropolitan Statistical Area
36078,46260,Micropolitan Statistical Area
36079,45980,Micropolitan Statistical Area
36079,21460,Micropolitan Statistical Area
36080,33860,Metropolitan Statistical Area
36080,10760,Micropolitan Statistical Area
36081,45980,Micropolitan Statistical Area
36081,,
36082,45980,Micropolitan Statistical Area
36083,46260,Micropolitan Statistical Area
36087,46260,Micropolitan Statistical Area
36088,46260,Micropolitan Statistical Area
36089,,
36089,46260,Micropolitan Statistical Area
36091,13820,Metropolitan Statistical Area
36091,33860,Metropolitan Statistical Area
36091,10760,Micropolitan Statistical Area
36092,33860,Metropolitan Statistical Area
36093,33860,Metropolitan Statistical Area
36101,33860,Metropolitan Statistical Area
36102,33860,Metropolitan Statistical Area
36103,33860,Metropolitan Statistical Area
36104,33860,Metropolitan Statistical Area
36105,33860,Metropolitan Statistical Area
36106,33860,Metropolitan Statistical Area
36107,33860,Metropolitan Statistical Area
36108,33860,Metropolitan Statistical Area
36109,33860,Metropolitan Statistical Area
36110,33860,Metropolitan Statistical Area
36111,33860,Metropolitan Statistical Area
36112,33860,Metropolitan Statistical Area
36113,33860,Metropolitan Statistical Area
36114,33860,Metropolitan Statistical Area
36115,33860,Metropolitan Statistical Area
36116,33860,Metropolitan Statistical Area
36117,33860,Metropolitan Statistical Area
36118,33860,Metropolitan Statistical Area
36119,33860,Metropolitan Statistical Area
36120,33860,Metropolitan Statistical Area
36121,33860,Metropolitan Statistical Area
36123,33860,Metropolitan Statistical Area
36124,33860,Metropolitan Statistical Area
36125,33860,Metropolitan Statistical Area
36130,33860,Metropolitan Statistical Area
36131,33860,Metropolitan Statistical Area
36132,33860,Metropolitan Statistical Area
36135,33860,Metropolitan Statistical Area
36140,33860,Metropolitan Statistical Area
36141,33860,Metropolitan Statistical Area
36142,33860,Metropolitan Statistical Area
